task,input,output,possible_outputs
translation_en-es,pound,libra,"['pulverizar', 'libra', 'pilar', 'perrera']"
translation_en-es,wave,onda,"['hacer señal', 'abanicar', 'onda', 'ondular', 'ola', 'agitar']"
translation_en-es,control,control,"['manejo', 'mando', 'patrón de comparación', 'control', 'dirección', 'autodominio', 'organización', 'de control', 'controlar', 'contramedida', 'administración']"
translation_en-es,defeat,vencimiento,"['vencimiento', 'vencer', 'derrotar', 'derrota', 'anular']"
translation_en-es,hunter,cazador,['cazador']
translation_en-es,direction,dirección,['dirección']
translation_en-es,half,mitad,['mitad']
translation_en-es,contamination,contaminación,['contaminación']
translation_en-es,trough,vaguada,"['vaguada', 'comedero']"
translation_en-es,triangle,triángulo,['triángulo']
translation_en-es,copper,cobre,"['paco', 'cobrizo', 'cobre']"
translation_en-es,booklet,libreto,"['libreto', 'folleto']"
translation_en-es,pace,paso,"['con todo respeto', 'trote', 'galope', 'paso', 'con el debido respeto', 'ritmo']"
translation_en-es,cancellation,cancelación,['cancelación']
translation_en-es,granddaughter,nieta,['nieta']
translation_en-es,procedure,procedimiento,"['trámite', 'procedimiento']"
translation_en-es,rock,piedra,"['peña', 'piedra preciosa', 'peñasco', 'rockear', 'roca', 'rock', 'mecer', 'piedra']"
translation_en-es,convention,convenio,"['costumbre', 'convenio', 'tratado', 'convención']"
translation_en-es,bridge,puente,"['puente', 'bóveda', 'pasarela', 'bridge']"
translation_en-es,experimentation,experimentación,['experimentación']
translation_en-es,squadron,escuadrón,"['escuadra', 'cuadrilla', 'escuadrón']"
translation_en-es,table,tablas,"['mesa', 'traer a discusión', 'tabla', 'posponer', 'tabular', 'tablas', 'poner sobre la mesa']"
translation_en-es,citizen,ciudadano,"['ciudadano', 'ciudadana']"
translation_en-es,prayer,oración,"['oradora', 'rezo', 'orador', 'oración']"
translation_en-es,tunnel,túnel,['túnel']
translation_en-es,colleague,colega,"['compañero', 'colega']"
translation_en-es,fusion,fusión,"['fusión', 'derretimiento fundición']"
translation_en-es,load,carga,"['carga', 'cargamento', 'cargar']"
translation_en-es,tail,nalgas,"['cola', 'nalgas']"
translation_en-es,slide,deslizamiento,"['portaobjeto', 'tobogán', 'diapositiva', 'deslizar', 'resbalar', 'corrimiento', 'deslizamiento', 'slide', 'corrimiento de tierra', 'portaobjetos']"
translation_en-es,voyage,viaje,['viaje']
translation_en-es,dose,dosis,['dosis']
translation_en-es,deficit,déficit,['déficit']
translation_en-es,utility,proveedor de servicios,"['conveniencia', 'proveedor de servicios', 'utilidad']"
translation_en-es,concussion,conmoción cerebral,"['concusión', 'conmoción cerebral']"
translation_en-es,handle,instrumento,['instrumento']
translation_en-es,beam,viga,"['radio', 'viga', 'travesaño']"
translation_en-es,bend,banda,"['banda', 'curvar', 'doblarse', 'doblegar', 'doblar']"
translation_en-es,competitor,competidor,"['contrincante', 'competidor']"
translation_en-es,acceleration,aceleración,['aceleración']
translation_en-es,union,unión,['unión']
translation_en-es,supply,oferta,"['oferta', 'suministrar', 'abastecimiento', 'suplir', 'proveer', 'municionar', 'útil', 'suplente', 'equipar', 'provisiones', 'abasto', 'abastecer', 'suministro']"
translation_en-es,dive,clavado,"['buceo', 'hacer un clavado', 'bucear', 'antro', 'clavado']"
translation_en-es,tennis,tenis,['tenis']
translation_en-es,performance,actuación,"['actuación', 'rendimiento', 'espectáculo', 'exhibición', 'cumplimiento', 'desempeño', 'prestación', 'número', 'realización', 'ejecución', 'representación']"
translation_en-es,lane,carrera,"['carril', 'camino', 'canal', 'calle', 'carrera']"
translation_en-es,reliance,dependiente,"['dependencia', 'confianza', 'dependiente']"
translation_en-es,daughter,hija,['hija']
translation_en-es,monopoly,monopolio,['monopolio']
translation_en-es,faculty,facultad,['facultad']
translation_en-es,perception,percepción,['percepción']
translation_en-es,graduation,graduación,['graduación']
translation_en-es,algorithm,algoritmo,['algoritmo']
translation_en-es,chorus,coro,"['coro', 'estribillo']"
translation_en-es,channel,canal,"['canalizar', 'canal', 'dirigir']"
translation_en-es,database,base de datos,"['banco de datos', 'base de datos']"
translation_en-es,mock,imitación,"['burlar', 'imitar', 'burla', 'imitación', 'remedar']"
translation_en-es,committee,comité,['comité']
translation_en-es,press,prensa,"['oprimir', 'prensar', 'pres', 'prensa', 'presionar']"
translation_en-es,spectrum,espectro,['espectro']
translation_en-es,accounting,contabilidad,['contabilidad']
translation_en-es,home,hogar,"['hogar', 'patria', 'a casa']"
translation_en-es,tip,propina,"['dar propina', 'propina']"
translation_en-es,spur,espuela,"['espuela', 'conexión', 'espolón', 'motivar', 'acicate ; incentivo', 'incitar', 'acicatear', 'estimular', 'espolear', 'alcurnia', 'espolonear', 'incentivar', 'poner espuelas', 'extensión', 'prolongación', 'animar']"
translation_en-es,casting,fundición,"['audición', 'fundición', 'casting', 'fundería']"
translation_en-es,diesel,diésel,['diésel']
translation_en-es,swift,vencejo,"['vencejo', 'rápido']"
translation_en-es,disturbance,perturbación,"['estorbo', 'disturbio', 'trastorno', 'perturbación']"
translation_en-es,driver,conductor,"['manejador', 'controlador', 'conductor', 'conductora', 'chofer']"
translation_en-es,test,prueba,"['test', 'prueba', 'probar', 'testear', 'examinar', 'examen']"
translation_en-es,date,fecha,"['compañero', 'cita', 'fechar', 'data', 'fecha', 'dátil', 'compañera', 'citar']"
translation_en-fr,sleeve,chemise,"['chemise', 'pochette', 'manche', 'manchon', 'boîtier', 'gaine']"
translation_en-fr,mud,boue,"['fange', 'boue']"
translation_en-fr,tolerance,tolérance,['tolérance']
translation_en-fr,thickness,épaisseur,"['épaisseur', 'grosseur']"
translation_en-fr,predator,prédateur,['prédateur']
translation_en-fr,descendant,descendant,['descendant']
translation_en-fr,battery,batterie,"['pile', 'batterie', 'coups et blessures']"
translation_en-fr,confrontation,confrontation,['confrontation']
translation_en-fr,compliance,conformité,"['observance', 'conformité']"
translation_en-fr,patient,patient,"['patient', 'patiente']"
translation_en-fr,lawsuit,poursuite judiciaire,"['poursuite judiciaire', 'procès']"
translation_en-fr,reprise,reprise,['reprise']
translation_en-fr,midnight,minuit,['minuit']
translation_en-fr,moon,lune,"['mois', 'montrer sa lune', 'lune']"
translation_en-fr,motion,mouvement,"['mouvement', 'motion']"
translation_en-fr,realism,réalisme,['réalisme']
translation_en-fr,matter,matière,"['affaire', 'importer', 'matière']"
translation_en-fr,tap,dérivation,"['dérivation', 'taper', 'tarauder', 'tirer', 'bouchon', 'taraud', 'robinet']"
translation_en-fr,confidence,confidence,"['assurance', 'confidence', 'confiance en soi', 'confiance']"
translation_en-fr,surname,nom,"['nom', 'patronyme nom de famille']"
translation_en-fr,bed,lit,['lit']
translation_en-fr,attraction,attraction,"['attraction', 'attirance']"
translation_en-fr,exposure,exposition,['exposition']
translation_en-fr,revenue,revenu,['revenu']
translation_en-fr,vacuum,vide,"['vide', ""passer l'aspirateur"", 'vacuum']"
translation_en-fr,past,passé,"['dernier', 'après', 'passé', 'passée', 'dernière']"
translation_en-fr,slave,esclave,"['esclave', 'serf', 'serve']"
translation_en-fr,conduct,comportement,"['se comporter', 'comportement', 'conduire', 'mener', 'conduite']"
translation_en-fr,fantasy,fantasme,"['fantasme', 'fantaisie', 'fantasy']"
translation_en-fr,spacecraft,vaisseau spatial,['vaisseau spatial']
translation_en-fr,tail,queue,"['pile', 'queue']"
translation_en-fr,abuse,abus,"['viol', 'abuser', 'abus']"
translation_en-fr,fight,bataille,"['se battre', 'guerroyer in war', 'lutte', 'bagarre', 'bataille', 'combativité', 'combattre', 'combat']"
translation_en-fr,faith,foi,"['foi', 'confiance']"
translation_en-fr,consciousness,conscience,['conscience']
translation_en-fr,fever,fièvre,['fièvre']
translation_en-fr,treason,trahison,['trahison']
translation_en-fr,recording,enregistrement,['enregistrement']
translation_en-fr,cave,caverne,"['éboulement', 'grotte', 'cave', 'caverne', 'antre']"
translation_en-fr,lunch,déjeuner,"['dîner', 'déjeuner', 'lunch', 'prendre déjeuner', 'luncher']"
translation_en-fr,treasury,trésorerie,['trésorerie']
translation_en-fr,demonstration,démonstration,"['démonstration', 'manifestation']"
translation_en-fr,mortar,mortier,['mortier']
translation_en-fr,chest,coffre,"['coffre', 'poitrine']"
translation_en-fr,tendency,tendance,['tendance']
translation_en-fr,table,tableau,"['table', 'tableau', 'mettre sur la table']"
translation_en-fr,wedding,mariage,"['mariage', 'noces']"
translation_en-fr,belief,croyance,"['foi', 'conviction', 'croyance']"
translation_en-fr,hill,colline,['colline']
translation_en-fr,dock,socle,"['socle', 'darse']"
translation_en-fr,trace,trace,"['tracer', 'calquer', 'trace']"
translation_en-fr,makeup,constitution,"['maquillage', 'constitution']"
translation_en-fr,instability,instabilité,['instabilité']
translation_en-fr,dissent,dissidence,['dissidence']
translation_en-fr,driver,conducteur,"['chauffeur', 'pilote', 'conducteur', 'conductrice']"
translation_en-fr,label,étiquette,"['étiquette', 'étiqueter']"
translation_en-fr,baseball,balle de baseball,"['balle de baseball', 'baseball', 'base-ball']"
translation_en-fr,plan,plan,"['projeter', 'plan', 'schema']"
translation_en-fr,beta,bêta,['bêta']
translation_en-fr,aviation,aviation,['aviation']
translation_en-fr,difference,différence,"['différend', 'différence']"
translation_en-fr,volume,volume,['volume']
translation_en-fr,mail,poste,"['poste', 'courrier', 'mail', 'courrier électronique', 'courriel', 'e-mail']"
translation_en-fr,cuisine,cuisine,['cuisine']
translation_en-fr,foot,pied,"['payer', 'patte', 'pied', 'donner un coup de pied']"
translation_en-fr,train,caravane,"['entraîner', 'dompter', 'traîne', 'pointer', ""s'exercer"", 'exercer', 'caravane', 'train', ""s'entraîner"", 'former']"
translation_en-fr,juice,jus,['jus']
translation_en-fr,console,console,"['console', 'console de jeu', 'consoler']"
translation_en-fr,opinion,avis,"['opinion', 'avis', 'conclusions']"
translation_en-fr,corporation,corporation,"['corporation', 'société']"
translation_en-fr,faction,faction,['faction']
translation_en-fr,sailor,matelot,"['marin', 'matelot']"
translation_en-fr,challenge,défi,"['défier', 'défi', 'challenge']"
translation_en-fr,referee,arbitre,['arbitre']
translation_en-fr,nation,nation,['nation']
translation_en-fr,frog,talon,"['talon', 'grenouille']"
translation_en-fr,puck,palet,"['rondelle', 'galet', 'palet']"
translation_en-fr,advertising,publicité,['publicité']
translation_en-fr,mountain,montagne,['montagne']
translation_en-fr,warehouse,entrepôt,['entrepôt']
translation_en-fr,honour,honneur,['honneur']
translation_en-fr,seal,sceau,"['sceau', 'joint', 'cacheter', 'sceller', 'phoque']"
translation_en-fr,ship,vaisseau,"['navire', 'bateau', 'vaisseau', 'poster', 'expédier']"
translation_en-fr,cinematography,cinématographie,['cinématographie']
translation_en-fr,father,père,"['papa', 'père', 'paterner']"
translation_en-fr,dispute,dispute,"['litige', 'dispute']"
translation_en-fr,bath,bain,"['bain', 'baignoire', 'salle de bains']"
translation_en-fr,shake,secousse,"['secousse', 'se secouer', 'secouer', 'agiter', 'se serrer la main']"
translation_en-fr,programming,programmation,['programmation']
translation_en-fr,care,souci,"['se soucier', 'souci', 'soigner', ""s'intéresser"", 'soin']"
translation_en-fr,universe,univers,"['Univers', 'univers']"
translation_en-fr,forehead,front,['front']
translation_en-fr,innovation,innovation,['innovation']
translation_en-fr,birthplace,lieu de naissance,['lieu de naissance']
translation_en-fr,segment,segment,"['segmenter', 'segment']"
translation_en-fr,calendar,calendrier,"['calendrier', 'agenda', 'programme', 'emploi du temps']"
translation_en-fr,salvage,épave,"['épave', 'sauvetages', 'rescapées', 'sauver', 'récompense', 'épaves', 'sauvetage', 'récompenses', 'rescapé', 'rescapée', 'recycler', 'rescapés']"
translation_en-fr,taxonomy,taxinomie,['taxinomie']
translation_en-fr,web,âme,"['réseau', 'poche', 'palmure', 'bande', 'panier', 'Web', 'bobine', 'Toile', 'âme']"
translation_en-fr,twist,torsion,"['entortiller', 'twist', 'torsion', 'tordre']"
translation_en-fr,bottom,fond,"['bas', 'passif', 'cul', 'dessous', 'arrière-train', 'fond', 'derrière']"
translation_en-fr,producer,producteur,['producteur']
translation_en-fr,suggestion,suggestion,['suggestion']
translation_en-fr,penalty,penalisation,"['penalisation', 'peine']"
translation_en-fr,publicity,publicité,['publicité']
translation_en-fr,telegram,télégramme,['télégramme']
translation_en-fr,planet,planète,['planète']
translation_en-fr,remix,remix,['remix']
translation_en-fr,farm,ferme,"['ferme', 'exploitation agricole', 'domaine']"
translation_en-fr,neglect,négligence,"['négligence', 'négliger']"
translation_en-fr,actor,acteur,"['faiseur', 'faiseuse', 'actrice', 'acteur']"
translation_en-fr,consideration,considération,"['considération', 'raison', 'récompense', 'motif']"
translation_en-fr,sergeant,sergent,['sergent']
translation_en-fr,defendant,inculpé,"['inculpé', 'défendeur']"
translation_en-fr,plea,supplication,"['supplication', 'appel']"
translation_en-fr,canal,canal,['canal']
translation_en-fr,vice,vice,['vice']
translation_en-fr,composer,compositeur,['compositeur']
translation_en-fr,band,groupe,['groupe']
translation_en-fr,assessment,évaluation,"['évaluation', 'estimation']"
translation_en-fr,aggregator,agrégateur,['agrégateur']
translation_en-fr,minister,pasteur,"['ministre', 'pasteur']"
translation_en-fr,satellite,satellite,['satellite']
translation_en-fr,adventure,aventure,['aventure']
translation_en-fr,verb,verbe,['verbe']
translation_en-fr,celebrity,célébrité,['célébrité']
translation_en-fr,hook,crochet,"['agrafe', 'hameçon', 'ferrer “to iron a fish”', 'accrocher', 'crochet']"
translation_en-fr,litigation,litige,['litige']
translation_en-fr,husband,mari,"['époux', 'ménager', 'économiser', 'mari']"
translation_en-fr,asylum,asile,"['asile psychiatrique', 'asile']"
translation_en-fr,emphasis,accent,"['graisse', 'accent', 'emphase']"
translation_en-fr,discussion,discussion,['discussion']
translation_en-fr,keeper,conservateur,"['conservateur', 'gâche', 'gardienne de but', 'passant', 'gardien', 'gardien de but', 'arrêtoir', 'conservateure']"
translation_en-fr,voter,votant,['votant']
translation_en-fr,violation,infraction,['infraction']
translation_en-fr,continuity,continuité,['continuité']
translation_en-fr,shift,décalage,"['roulement', 'décalage', 'touche majuscule']"
translation_en-fr,sprint,sprint,['sprint']
translation_en-fr,run,galoper,"['couler', 'galoper', ""s'écouler"", 'courir', 'marcher']"
translation_en-fr,gas,gaz,"['gaz', 'missile', 'boulet', 'boulet de canon', 'essence', 'marrant']"
translation_en-fr,performance,exécution,"['prestation', 'performance', 'exécution', 'représentation']"
translation_en-fr,habit,habitude,"['uniforme', 'habitude', 'costume', 'habiller', 'habit']"
translation_en-fr,voyage,voyage,['voyage']
translation_en-fr,story,histoire,"['conte', 'histoire']"
translation_en-fr,skull,crâne,['crâne']
translation_en-fr,association,association,['association']
translation_en-fr,foundation,fondation,"['fond de teint', 'fondation', 'fondement']"
translation_en-fr,television,télévision,"['téléviseur', 'télévision', 'poste de télévision', 'télé']"
translation_en-fr,morality,moralité,['moralité']
translation_en-fr,machinery,mécanique,"['parc de machines', 'méchanique', 'machinierie', 'mécanique']"
translation_en-fr,scope,portée,['portée']
translation_en-fr,typhoon,typhon,"['typhon', 'ouragan']"
translation_en-fr,infrastructure,infrastructure,['infrastructure']
translation_en-fr,exhibit,exposition,"['exposition', 'exposer']"
translation_en-fr,ramp,rampe,"['ramper', 'passerelle', 'rampe']"
translation_en-fr,transmission,transmission,"['transmission', 'boite de vitesses']"
translation_en-fr,instruction,instruction,['instruction']
translation_en-fr,texture,texture,['texture']
translation_en-fr,direction,direction,['direction']
translation_en-fr,readiness,état de préparation,"['état de préparation', 'préparation']"
translation_en-fr,royalty,royalty,"['règne', 'redevance', 'royalty']"
translation_en-fr,jurisdiction,juridiction,['juridiction']
translation_en-fr,editing,rédaction,['rédaction']
translation_en-fr,student,étudiant,"['étudiant', 'étudiante', 'élève']"
translation_en-fr,bubble,bulle,"['trou', 'bulle', 'bouillonner']"
translation_en-fr,portrait,portrait,['portrait']
translation_en-fr,philosophy,philosophie,['philosophie']
translation_en-fr,investment,investissement,['investissement']
translation_en-fr,ambition,ambition,['ambition']
translation_en-fr,dream,rêve,"['souhait', 'voeu', 'souhaiter', 'songe', 'rêve', 'rêver']"
translation_en-fr,steam,vapeur,"['cuisiner à la vapeur', 'vapeur']"
translation_en-fr,production,production,['production']
translation_en-fr,exile,exil,"['exil', 'exilé']"
translation_en-fr,basis,base,['base']
translation_en-fr,currency,monnaie,"['numéraire', 'devise', 'monnaie']"
translation_en-fr,density,densité,['densité']
translation_en-fr,peace,paix,['paix']
translation_en-fr,structure,structure,['structure']
translation_en-fr,citizen,citoyen,"['habitant', 'citoyen', 'civil', 'résident', 'civile', 'citoyenne']"
translation_en-fr,piece,pièce,"['morceau', 'part', 'pièce']"
translation_en-fr,range,terrain,"['sélection', 'image', 'champ champ de tir', 'gamme', 'amplitude', 'cuisinière', 'chaîne', 'distance', 'habitat naturel', 'habitat', ""ensemble d'arrivée"", 'prairie', 'portée', 'terrain', 'rayon']"
translation_en-fr,skin,peau,"['peau', 'écorcher', 'apparence']"
translation_en-fr,community,communauté,['communauté']
translation_en-fr,picture,cinéma,"['photo', 'image', 'cinéma']"
translation_en-fr,equation,équation,['équation']
translation_en-fr,vibe,vibe,['vibe']
translation_en-fr,smuggling,trafique,['trafique']
translation_en-fr,commentator,commentateur,['commentateur']
translation_en-fr,detention,détention,"['arrestation', 'détention']"
translation_en-fr,schooling,scolarité,['scolarité']
translation_en-fr,summit,sommet,['sommet']
translation_en-fr,thing,chose,"['chose', 'machin', 'truc']"
translation_en-fr,menu,carte,"['carte', 'menu']"
translation_en-fr,renewal,renouvellement,['renouvellement']
translation_en-fr,load,charge,"['puissance', 'charger', 'paquet', 'charge', 'des tas']"
translation_en-fr,merchant,marchand,['marchand']
translation_en-fr,homosexuality,homosexualité,['homosexualité']
translation_en-fr,eye,œil,"['trou', 'chas', 'œil', 'examiner']"
translation_en-fr,transportation,transport,"['transport', 'transportation']"
translation_en-fr,playwright,dramaturge,"['dramaturge', 'auteur dramatique']"
word_in_context,Sentence 1: Open a business. Sentence 2: The door opened. Word: open,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: He had a drop too much to drink. Sentence 2: A drop of each sample was analyzed. Word: drop,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: You never understand what I mean! Sentence 2: Happiness means everything. Word: mean,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Make a move. Sentence 2: Make advances. Word: make,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Dog is a hyponym of animal. Sentence 2: British is a hyponym of European. Word: hyponym,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Drive the forest. Sentence 2: We drove the car to the garage. Word: drive,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Heat the water on the stove. Sentence 2: The sun heats the oceans. Word: heat,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The mechanism of the ear. Sentence 2: The mechanism of infection. Word: mechanism,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: I know him under a different name. Sentence 2: We know this movie. Word: know,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Burn a CD. Sentence 2: Witches were burned in Salem. Word: burn,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: I resent having to carry her all the time. Sentence 2: The painting of Mary carries motherly love. Word: carry,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Carry the suitcases to the car. Sentence 2: Amanda carried the package. Word: carry,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: I'm really seeing you in a different light today. Sentence 2: The light of my life. Word: light,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: He cherished the faith of a good woman. Sentence 2: A member of his own faith contradicted him. Word: faith,not the same,"['not the same', 'no', 'false']"
word_in_context,"Sentence 1: Can I have a dozen eggs, please? Sentence 2: I ordered two dozen doughnuts. Word: dozen",same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Give thought to. Sentence 2: Give priority to. Word: give,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Please inspect your father's will carefully. Sentence 2: We inspected the area. Word: inspect,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The sweat cut little rivulets into her face. Sentence 2: Cut a movie scene. Word: cut,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: We had a wonderful time at the party. Sentence 2: The judge leniently granted a sentence with no hard time. Word: time,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The grandfather clock beat midnight. Sentence 2: Beat one's breast. Word: beat,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The base of the triangle. Sentence 2: The attack wiped out our forward bases. Word: base,not the same,"['not the same', 'no', 'false']"
word_in_context,"Sentence 1: Strike a bargain. Sentence 2: The Germans struck Poland on Sept. 1, 1939. Word: strike",not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: To admit evidence in the trial of a cause. Sentence 2: We can not admit non-members into our club building. Word: admit,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: He hit a home run. Sentence 2: He hit .300 in the past season. Word: hit,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Can I buy you a drink? Sentence 2: I asked for a hot drink. Word: drink,same,"['same', 'yes', 'true']"
word_in_context,"Sentence 1: I ordered two dozen doughnuts. Sentence 2: Pack the shirts in dozens, please. Word: dozen",same,"['same', 'yes', 'true']"
word_in_context,"Sentence 1: If the new teacher won't break, we'll add some stress. Sentence 2: The clouds broke after the heavy downpour. Word: break",not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Education is the door to success. Sentence 2: We closed the door to Haitian immigrants. Word: door,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The airwaves carry the sound. Sentence 2: Sound carries well over water. Word: carry,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Trace a design. Sentence 2: The women traced the pasture. Word: trace,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: He occupied a post in the treasury. Sentence 2: Sent via post. Word: post,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Drop him from the Republican ticket. Sentence 2: Stock prices dropped. Word: drop,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Raise a shout. Sentence 2: Raise a protest. Word: raise,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: He managed to wash out the stains. Sentence 2: Can you wash away the spots on the windows? Word: wash,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: A place in my heart. Sentence 2: He comes from a place near Chicago. Word: place,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Crush an aluminum can. Sentence 2: She was crushed by his refusal of her invitation. Word: crush,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The wheels sang their song as the train rocketed ahead. Sentence 2: The song of bullets was in the air. Word: song,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Fall into a category. Sentence 2: Silly phrases fell from her mouth. Word: fall,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The renowned director could translate experience to film with ease. Sentence 2: The growth in income translates into greater purchasing power. Word: translate,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Shoot craps. Sentence 2: Shoot a movie. Word: shoot,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The moon's disk hung in a cloudless sky. Sentence 2: Venus' disk cut off light from the Sun. Word: disk,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Spread information. Sentence 2: The missionaries quickly spread their new message across the country. Word: spread,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: A prison term. Sentence 2: The term allowed to a debtor to discharge his debt. Word: term,same,"['same', 'yes', 'true']"
word_in_context,"Sentence 1: The never-ending cycle of the seasons. Sentence 2: The cycle of the seasons, or of the year. Word: cycle",same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: I ride to work in a bus. Sentence 2: She rode a wave of popularity. Word: ride,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: He had a bowel movement. Sentence 2: It was an expensive watch with a diamond movement. Word: movement,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: You must carry your camping gear. Sentence 2: This train is carrying nuclear waste. Word: carry,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: There are 50 acres of land in this estate. Sentence 2: The family owned a large estate on Long Island. Word: estate,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Pay a debt. Sentence 2: He was allowed to go as soon as he paid. Word: pay,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: I shall be writing to you soon. Sentence 2: I have been to Spain many times. Word: be,same,"['same', 'yes', 'true']"
word_in_context,"Sentence 1: This project is his baby. Sentence 2: Hey baby, what are you doing later? Word: baby",not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Stand the test of time. Sentence 2: She stands 6 feet tall. Word: stand,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Plug the hole. Sentence 2: He attempted to plug the leaks with some caulk. Word: plug,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The insurance will replace the lost income. Sentence 2: This antique vase can never be replaced. Word: replace,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: These pipes carry waste water into the river. Sentence 2: Amanda carried the package from home to New York. Word: carry,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Grate carrots and onions. Sentence 2: Grate nutmeg. Word: grate,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: I still owe for the car. Sentence 2: She owes me $200. Word: owe,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: A component or constituent element of a system. Sentence 2: In your element. Word: element,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: I'll store these books in the attic. Sentence 2: Store grain for the winter. Word: store,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The two buildings touch. Sentence 2: Are you all right? You've hardly touched your lunch. Word: touch,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: A ten day's leave to visit his mother. Sentence 2: Might I beg leave to accompany you? Word: leave,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The washing machine won't go unless it's plugged in. Sentence 2: The day went well until I got your call. Word: go,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: The voice of experience. Sentence 2: The wee small voice of conscience. Word: voice,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: He had a great feeling for music. Sentence 2: The house gave me a feeling of dread. Word: feeling,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: My cold is gone -- I feel fine today. Sentence 2: She felt tired after the long hike. Word: feel,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The addition of cinnamon improved the flavor. Sentence 2: He was a new addition to the staff. Word: addition,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Their quarterback was a good scrambler. Sentence 2: Scramblers can often unnerve a better tennis player. Word: scrambler,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: The cover concealed their guns from enemy aircraft. Sentence 2: They made a cover of a Beatles' song. Word: cover,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: A chair is furniture. Sofas are also furniture. Sentence 2: How much furniture did they leave behind? Word: furniture,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Thanks to that quack I am a human wreck. Sentence 2: The house was a wreck when they bought it. Word: wreck,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: He placed a phone call to London. Sentence 2: I received several phone calls today. Word: call,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: Is the direction of the economy a function of government? Sentence 2: He gave directions faster than she could follow them. Word: direction,not the same,"['not the same', 'no', 'false']"
word_in_context,Sentence 1: Shovel sand. Sentence 2: He shovelled in the backyard all afternoon long. Word: shovel,same,"['same', 'yes', 'true']"
word_in_context,Sentence 1: They put out quite a spread. Sentence 2: The spread between lending and borrowing costs. Word: spread,not the same,"['not the same', 'no', 'false']"
